,beijing,chicago,dubai,las vegas,london,montreal,new delhi,new york city,san francisco,shanghai
china,1378.0,25.0,30.0,17.0,141.0,53.0,10.0,194.0,648.0,856.0
forbidden city,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviewsAnalyzed,5253.0,18053.0,11767.0,26157.0,78896.0,9333.0,4917.0,54659.0,30401.0,4276.0
beijing,3942.0,1.0,2.0,3.0,9.0,2.0,2.0,1.0,1.0,149.0
us,196.0,189.0,133.0,211.0,1368.0,151.0,95.0,662.0,425.0,78.0
new york,19.0,106.0,29.0,791.0,188.0,53.0,8.0,15809.0,141.0,10.0
zhongguancun,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olympic,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
summer palace,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forbiden city,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the forbidden city,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hutong,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hebei,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jing shan park,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bei hai park,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
houhai bar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tien,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buffet,21.0,4.0,31.0,269.0,59.0,1.0,11.0,12.0,8.0,20.0
hagen daaz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
philippines,4.0,1.0,11.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0
tucson,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
america,9.0,38.0,8.0,89.0,99.0,4.0,4.0,126.0,98.0,4.0
u.s.,31.0,24.0,2.0,39.0,303.0,33.0,20.0,43.0,51.0,15.0
hangzhou,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
shanghai,150.0,5.0,6.0,2.0,6.0,0.0,1.0,7.0,10.0,2954.0
las vegas,11.0,26.0,37.0,5983.0,16.0,6.0,3.0,54.0,112.0,8.0
the united states,3.0,12.0,1.0,6.0,44.0,7.0,1.0,21.0,21.0,1.0
t.v.,2.0,27.0,11.0,50.0,86.0,11.0,1.0,61.0,46.0,1.0
toursim,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chengdu,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
australia,26.0,12.0,125.0,43.0,245.0,4.0,16.0,105.0,125.0,11.0
rmb$600,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the olympic village,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
wc,5.0,5.0,11.0,10.0,95.0,3.0,0.0,19.0,7.0,1.0
fujian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paris,8.0,23.0,26.0,1285.0,790.0,46.0,9.0,113.0,59.0,12.0
edinburgh,1.0,1.0,3.0,1.0,80.0,0.0,0.0,8.0,2.0,0.0
marriott,29.0,154.0,15.0,114.0,279.0,59.0,3.0,198.0,169.0,18.0
uk,54.0,64.0,407.0,186.0,1475.0,15.0,45.0,582.0,219.0,15.0
wangfujing,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mutainyi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bejing,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
london,27.0,50.0,181.0,35.0,53853.0,32.0,43.0,656.0,105.0,15.0
beijingp.s,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smokey,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
underground city,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
trinidad,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
